;price;propertyType;operation;size;exterior;rooms;bathrooms;municipality;status;newDevelopment;floor;district;neighborhood;hasLift;hasParkingSpace;typology;subTypology;priceByArea
0;750.0;flat;rent;60.0;True;1;1;Madrid;good;False;3;Hortaleza;Canillas;True;Unknown;flat;Unknown;13.0
1;750.0;flat;rent;70.0;True;2;1;San Sebastián de los Reyes;good;False;bj;Centro Urbano;Unknown;False;Unknown;flat;Unknown;11.0
2;400.0;penthouse;rent;67.0;True;2;2;Villamanrique de Tajo;good;False;2;Unknown;Unknown;False;Unknown;flat;penthouse;6.0
3;590.0;flat;rent;70.0;True;3;2;Rascafría;good;False;Unknown;Unknown;Unknown;False;Unknown;flat;Unknown;8.0
4;684.0;studio;rent;45.0;True;0;1;Madrid;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;13.294985250737463
5;600.0;flat;rent;73.0;True;2;1;Manzanares el Real;good;False;3;Unknown;Unknown;False;Unknown;flat;Unknown;8.0
6;600.0;duplex;rent;71.0;True;1;1;Miraflores de la Sierra;good;False;1;Unknown;Unknown;False;Unknown;flat;duplex;8.0
7;550.0;flat;rent;53.0;True;1;1;Madrid;good;False;1;Puente de Vallecas;San Diego;False;Unknown;flat;Unknown;10.0
8;700.0;studio;rent;28.0;True;0;1;Madrid;good;False;1;Ciudad Lineal;San Pascual;False;Unknown;flat;studio;25.0
9;700.0;duplex;rent;86.0;True;2;1;Galapagar;good;False;3;Casco Antiguo;Unknown;True;Unknown;flat;duplex;8.0
10;700.0;flat;rent;45.0;False;1;1;Madrid;good;False;5;Moncloa;Argüelles;False;Unknown;flat;Unknown;16.0
11;550.0;flat;rent;54.0;True;2;1;Arganda;good;False;en;Centro;Unknown;False;Unknown;flat;Unknown;10.0
12;695.0;flat;rent;64.0;True;2;1;San Sebastián de los Reyes;good;False;1;Centro Urbano;Unknown;False;Unknown;flat;Unknown;11.0
13;650.0;flat;rent;68.0;True;2;1;San Lorenzo de el Escorial;good;False;bj;Centro - Casco Histórico;Unknown;False;Unknown;flat;Unknown;10.0
14;700.0;flat;rent;30.0;False;1;1;Madrid;good;False;1;Retiro;Adelfas;True;Unknown;flat;Unknown;23.0
15;700.0;flat;rent;35.0;False;1;1;Madrid;good;False;1;Arganzuela;Palos de Moguer;False;Unknown;flat;Unknown;20.0
16;700.0;flat;rent;43.0;True;1;1;Madrid;good;False;2;Latina;Aluche;True;Unknown;flat;Unknown;16.0
17;650.0;flat;rent;60.0;True;2;1;Madrid;good;False;1;Puente de Vallecas;San Diego;False;Unknown;flat;Unknown;11.0
18;650.0;chalet;rent;206.0;False;3;1;Aldea del Fresno;good;False;Unknown;Unknown;Unknown;Unknown;Unknown;chalet;independantHouse;3.0
19;700.0;flat;rent;105.0;True;3;2;Aranjuez;good;False;bj;Centro;Unknown;False;Unknown;flat;Unknown;7.0
20;695.0;flat;rent;40.0;False;1;1;Madrid;good;False;4;Barrio de Salamanca;Goya;True;Unknown;flat;Unknown;17.0
21;675.0;flat;rent;40.0;True;1;1;Villanueva del Pardillo;good;False;bj;Centro;Unknown;False;True;flat;Unknown;17.0
22;750.0;studio;rent;45.0;False;0;1;Madrid;good;False;bj;Centro;Lavapiés-Embajadores;True;Unknown;flat;studio;17.0
23;750.0;flat;rent;99.0;True;3;2;Aranjuez;good;False;1;Centro;Unknown;True;Unknown;flat;Unknown;8.0
24;680.0;flat;rent;38.0;False;1;1;Madrid;good;False;1;Retiro;Pacífico;True;Unknown;flat;Unknown;18.0
25;750.0;flat;rent;51.0;True;1;1;Madrid;good;False;1;Barajas;Timón;True;True;flat;Unknown;15.0
26;750.0;penthouse;rent;60.0;True;1;1;Las Rozas de Madrid;good;False;2;Las Matas- Peñascales;Las Matas- Peñascales;False;Unknown;flat;penthouse;13.0
27;750.0;studio;rent;25.0;False;0;1;Madrid;good;False;4;Centro;Chueca-Justicia;True;Unknown;flat;studio;30.0
28;750.0;flat;rent;40.0;False;1;1;Madrid;good;False;1;Arganzuela;Palos de Moguer;False;Unknown;flat;Unknown;19.0
29;650.0;flat;rent;62.0;True;2;1;Madrid;good;False;1;Latina;Águilas;False;Unknown;flat;Unknown;10.0
30;750.0;studio;rent;30.0;True;0;1;Madrid;good;False;3;Centro;Lavapiés-Embajadores;False;Unknown;flat;studio;25.0
31;750.0;flat;rent;39.0;False;1;1;Madrid;good;False;5;Chamberí;Trafalgar;False;Unknown;flat;Unknown;19.0
32;700.0;flat;rent;62.0;True;2;1;Madrid;good;False;3;Villaverde;San Cristóbal;False;Unknown;flat;Unknown;11.0
33;747.0;flat;rent;96.0;True;3;2;Navalcarnero;good;False;1;La Dehesa - El Pinar;Unknown;True;True;flat;Unknown;8.0
34;640.0;studio;rent;35.0;True;0;1;Madrid;good;False;1;Villaverde;Butarque;True;True;flat;studio;18.0
35;750.0;flat;rent;30.0;False;1;1;Madrid;good;False;st;Retiro;Ibiza;True;Unknown;flat;Unknown;25.0
36;750.0;flat;rent;70.0;True;2;1;Alcalá de Henares;good;False;2;Reyes Católicos;Unknown;True;True;flat;Unknown;11.0
37;625.0;flat;rent;52.0;True;2;1;El Escorial;good;False;2;Centro;Unknown;False;Unknown;flat;Unknown;12.0
38;700.0;studio;rent;40.0;True;0;1;Madrid;good;False;3;Centro;Chueca-Justicia;True;Unknown;flat;studio;18.0
39;750.0;studio;rent;40.0;True;0;1;Madrid;good;False;en;Arganzuela;Chopera;True;Unknown;flat;studio;19.0
40;650.0;flat;rent;35.0;False;1;1;Madrid;good;False;2;Centro;Palacio;True;Unknown;flat;Unknown;19.0
41;720.0;flat;rent;70.0;True;3;1;Alcalá de Henares;good;False;2;Chorrillo;Unknown;False;Unknown;flat;Unknown;10.0
42;699.0;flat;rent;52.0;True;1;1;Madrid;good;False;3;Puente de Vallecas;Palomeras sureste;True;Unknown;flat;Unknown;13.0
43;750.0;flat;rent;65.0;True;2;1;Leganés;good;False;Unknown;Valdepelayo - Montepinos - Arroyo Culebro;Valdepelayo-Montepinos-Arroyo Culebro;True;True;flat;Unknown;12.0
44;695.0;flat;rent;65.0;True;2;1;Coslada;good;False;Unknown;Valleaguado - La Cañada;Unknown;True;Unknown;flat;Unknown;11.0
45;750.0;flat;rent;78.0;True;2;2;Torrejón de Ardoz;good;False;Unknown;Suroeste;Unknown;True;True;flat;Unknown;10.0
46;620.0;flat;rent;60.0;True;2;1;Madrid;good;False;Unknown;Villaverde;Villaverde Alto;False;Unknown;flat;Unknown;10.0
47;500.0;studio;rent;28.0;False;0;1;Madrid;good;False;1;Centro;Lavapiés-Embajadores;False;Unknown;flat;studio;18.0
48;550.0;flat;rent;38.0;True;1;1;Leganés;good;False;Unknown;Centro;Flores;False;Unknown;flat;Unknown;14.0
49;750.0;flat;rent;46.0;False;1;1;Madrid;good;False;3;Arganzuela;Acacias;True;Unknown;flat;Unknown;16.0
50;680.0;studio;rent;55.0;True;0;1;Madrid;good;False;bj;Ciudad Lineal;Ventas;False;Unknown;flat;studio;12.0
51;700.0;flat;rent;50.0;True;1;2;Camarma de Esteruelas;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;13.294985250737463
52;750.0;duplex;rent;35.0;True;1;1;Madrid;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;13.294985250737463
53;750.0;flat;rent;66.0;True;2;1;Alcorcón;good;False;1;Centro;Zona Renfe;True;Unknown;flat;Unknown;11.0
54;650.0;flat;rent;65.0;True;1;1;Alcalá de Henares;good;False;en;San Isidro - Los Almendros;Unknown;True;Unknown;flat;Unknown;10.0
55;720.0;flat;rent;133.0;False;3;2;Pinto;good;False;1;San José - Buenos Aires;Unknown;True;True;flat;Unknown;5.0
56;600.0;flat;rent;50.0;True;1;1;Valdemoro;good;False;Unknown;Hospital;Unknown;True;True;flat;Unknown;12.0
57;650.0;flat;rent;61.0;True;1;1;Collado Villalba;good;False;2;Parque de la Coruña - Las Suertes;Unknown;True;True;flat;Unknown;11.0
58;650.0;flat;rent;65.0;False;2;1;Alcorcón;good;False;3;Valderas - Los Castillos;Valderas - Los Castillos;False;Unknown;flat;Unknown;10.0
59;700.0;flat;rent;45.0;True;1;1;Madrid;good;False;3;Barajas;Casco Histórico de Barajas;False;Unknown;flat;Unknown;16.0
60;625.0;flat;rent;62.0;True;2;1;Getafe;good;False;bj;Getafe Centro;Unknown;False;Unknown;flat;Unknown;10.0
61;595.0;flat;rent;45.0;True;1;1;Madrid;good;False;bj;Latina;Aluche;False;Unknown;flat;Unknown;13.0
62;650.0;flat;rent;55.0;True;1;1;Madrid;good;False;4;San Blas;Rejas;True;True;flat;Unknown;12.0
63;725.0;flat;rent;50.0;True;1;1;Madrid;good;False;2;Villaverde;Villaverde Alto;True;Unknown;flat;Unknown;15.0
64;750.0;flat;rent;95.0;True;3;1;Alcalá de Henares;good;False;8;Reyes Católicos;Unknown;True;Unknown;flat;Unknown;8.0
65;700.0;penthouse;rent;30.0;True;1;1;Madrid;good;False;1;San Blas;Rejas;True;Unknown;flat;penthouse;23.0
66;700.0;flat;rent;27.0;False;1;1;Madrid;good;False;3;Centro;Lavapiés-Embajadores;False;Unknown;flat;Unknown;26.0
67;650.0;flat;rent;59.0;True;2;1;Alcalá de Henares;good;False;1;Val;Unknown;True;Unknown;flat;Unknown;11.0
68;550.0;flat;rent;40.0;True;1;1;Paracuellos de Jarama;good;False;3;Casco Urbano;Unknown;True;Unknown;flat;Unknown;14.0
69;650.0;flat;rent;55.0;True;1;1;Madrid;good;False;4;San Blas;Rejas;True;True;flat;Unknown;12.0
70;750.0;flat;rent;65.0;True;2;1;Madrid;good;False;Unknown;Ciudad Lineal;Pueblo Nuevo;True;Unknown;flat;Unknown;12.0
71;725.0;flat;rent;70.0;True;2;1;Madrid;good;False;Unknown;Puente de Vallecas;Entrevías;True;Unknown;flat;Unknown;10.0
72;700.0;flat;rent;80.0;True;1;1;Alcalá de Henares;good;False;1;Casco Histórico;Unknown;False;Unknown;flat;Unknown;9.0
73;650.0;flat;rent;40.0;True;1;1;Madrid;good;False;bj;Barajas;Casco Histórico de Barajas;True;Unknown;flat;Unknown;16.0
74;695.0;flat;rent;90.0;True;3;1;Madrid;good;False;Unknown;Villaverde;Los Rosales;False;Unknown;flat;Unknown;8.0
75;750.0;flat;rent;55.0;True;1;1;Madrid;good;False;Unknown;Ciudad Lineal;Quintana;False;Unknown;flat;Unknown;14.0
76;650.0;flat;rent;65.0;True;2;1;Madrid;good;False;Unknown;Latina;Águilas;True;Unknown;flat;Unknown;10.0
77;666.0;flat;rent;70.0;True;1;2;Villanueva del Pardillo;good;False;1;Los Llanos - Valle Pardo;Unknown;True;True;flat;Unknown;10.0
78;750.0;flat;rent;78.0;True;2;2;Alcalá de Henares;good;False;Unknown;Ensanche;Unknown;True;True;flat;Unknown;10.0
79;630.0;flat;rent;74.0;True;3;1;El Molar;good;False;Unknown;Unknown;Unknown;True;Unknown;flat;Unknown;9.0
80;635.0;studio;rent;55.0;True;0;1;Leganés;good;False;2;Valdepelayo - Montepinos - Arroyo Culebro;Valdepelayo-Montepinos-Arroyo Culebro;True;True;flat;studio;12.0
81;725.0;flat;rent;69.0;True;2;1;Collado Villalba;good;False;1;Dehesa - El Soto;Unknown;True;True;flat;Unknown;11.0
82;750.0;flat;rent;35.0;False;1;1;Madrid;good;False;1;Centro;Lavapiés-Embajadores;False;Unknown;flat;Unknown;21.0
83;690.0;flat;rent;65.0;True;2;1;Madrid;good;False;3;Puente de Vallecas;San Diego;False;Unknown;flat;Unknown;11.0
84;700.0;studio;rent;30.0;False;0;1;Madrid;good;False;2;Centro;Lavapiés-Embajadores;True;Unknown;flat;studio;23.0
85;730.0;flat;rent;64.0;True;3;1;Parla;good;False;1;Pintores-Ferial;Unknown;False;Unknown;flat;Unknown;11.0
86;750.0;flat;rent;51.0;True;1;1;Madrid;good;False;1;Carabanchel;Opañel;True;Unknown;flat;Unknown;15.0
87;750.0;flat;rent;48.0;False;1;1;Tres Cantos;good;False;4;Zona Estación- Centro;Unknown;True;Unknown;flat;Unknown;16.0
88;690.0;flat;rent;35.0;True;1;1;Madrid;good;False;Unknown;Tetuán;Berruguete;False;Unknown;flat;Unknown;20.0
89;750.0;flat;rent;74.0;True;3;1;Alcorcón;good;False;4;Centro;Casco Antiguo;True;True;flat;Unknown;10.0
90;700.0;duplex;rent;35.0;True;1;1;Madrid;good;False;bj;Centro;Palacio;False;Unknown;flat;duplex;20.0
91;720.0;flat;rent;42.0;True;1;1;Madrid;good;False;4;Hortaleza;Pinar del Rey;True;Unknown;flat;Unknown;17.0
92;595.0;flat;rent;55.0;True;1;1;Quijorna;good;False;1;Unknown;Unknown;False;True;flat;Unknown;11.0
93;700.0;flat;rent;45.0;False;1;1;Madrid;good;False;1;Centro;Palacio;False;Unknown;flat;Unknown;16.0
94;500.0;flat;rent;45.0;True;1;1;Valdemorillo;good;False;Unknown;Valdemorillo pueblo;Unknown;False;Unknown;flat;Unknown;11.0
95;700.0;flat;rent;75.0;True;2;1;Aranjuez;good;False;1;Nuevo Aranjuez-Ciudad de las Artes;Unknown;False;Unknown;flat;Unknown;9.0
96;675.0;duplex;rent;87.0;True;2;2;Miraflores de la Sierra;good;False;2;Unknown;Unknown;False;Unknown;flat;duplex;8.0
97;650.0;flat;rent;45.0;True;1;1;Pedrezuela;good;False;bj;Unknown;Unknown;False;True;flat;Unknown;14.0
98;750.0;studio;rent;55.0;True;0;1;Madrid;good;False;2;Centro;Lavapiés-Embajadores;True;Unknown;flat;studio;14.0
99;720.0;studio;rent;45.0;True;0;1;San Sebastián de los Reyes;good;False;5;Vega de la Moraleja;Unknown;True;Unknown;flat;studio;16.0
