;price;propertyType;operation;size;exterior;rooms;bathrooms;municipality;status;newDevelopment;priceByArea;floor;district;neighborhood;hasLift;hasParkingSpace;typology;subTypology
222;740.0;flat;rent;77.0;True;3;2;Alcalá de Henares;good;False;10.0;bj;Reyes Católicos;;True;;flat;
223;720.0;flat;rent;73.0;True;1;1;Collado Villalba;good;False;10.0;2;Villalba Estación;;True;;flat;
224;750.0;flat;rent;79.0;True;3;1;Getafe;good;False;9.0;en;Universidad;;True;;flat;
225;710.0;flat;rent;66.0;True;3;1;Parla;good;False;11.0;4;Parque Inlasa;;False;;flat;
226;725.0;flat;rent;62.0;True;2;1;Madrid;good;False;12.0;3;Latina;Águilas;False;;flat;
227;750.0;flat;rent;46.0;False;1;1;Madrid;good;False;16.0;bj;Carabanchel;Puerta Bonita;False;;flat;
228;750.0;flat;rent;61.0;True;2;1;Madrid;good;False;12.0;1;Carabanchel;Opañel;True;;flat;
229;730.0;flat;rent;161.0;True;4;1;Aranjuez;good;False;5.0;3;Nuevo Aranjuez-Ciudad de las Artes;;False;;flat;
230;720.0;flat;rent;110.0;False;2;1;Parla;good;False;7.0;;Las Américas;;True;True;flat;
231;720.0;flat;rent;48.0;False;2;1;Madrid;good;False;15.0;bj;Puente de Vallecas;Numancia;False;;flat;
232;700.0;flat;rent;57.0;False;2;1;Madrid;good;False;12.0;4;Villaverde;San Cristóbal;False;;flat;
233;750.0;duplex;rent;75.0;True;2;2;Cobeña;good;False;10.0;1;;;False;;flat;duplex
234;610.0;studio;rent;26.0;False;0;1;Madrid;good;False;23.0;3;Tetuán;Valdeacederas;True;;flat;studio
235;740.0;flat;rent;52.0;False;2;1;Móstoles;good;False;14.0;4;Centro;;False;;flat;
236;715.0;flat;rent;62.0;True;2;1;Colmenar Viejo;good;False;12.0;bj;San Crispín - La Estación Consorcio;;True;True;flat;
237;550.0;flat;rent;57.0;False;2;1;Aranjuez;good;False;10.0;bj;Foso-Moreras;;False;;flat;
238;710.0;flat;rent;36.0;True;1;1;Madrid;good;False;20.0;bj;Arganzuela;Palos de Moguer;False;;flat;
239;730.0;flat;rent;51.0;True;2;1;Madrid;good;False;14.0;2;Villaverde;Villaverde Alto;False;;flat;
240;750.0;studio;rent;23.0;True;0;1;Madrid;good;False;33.0;8;Centro;Malasaña-Universidad;True;;flat;studio
241;690.0;flat;rent;33.0;False;1;1;Madrid;good;False;21.0;3;Tetuán;Valdeacederas;True;;flat;
242;740.0;flat;rent;73.0;True;3;1;Parla;good;False;10.0;4;Fuentebella-San Felix-El Leguario;;True;;flat;
243;750.0;duplex;rent;66.0;True;1;1;Madrid;good;False;11.0;bj;Tetuán;Valdeacederas;True;;flat;duplex
244;720.0;flat;rent;44.0;False;3;1;Madrid;good;False;16.0;2;Villaverde;Villaverde Alto;False;;flat;
245;475.0;flat;rent;79.0;True;2;2;Navalafuente;good;False;6.0;2;;;True;;flat;
246;740.0;flat;rent;41.0;True;2;1;Madrid;good;False;18.0;2;Puente de Vallecas;San Diego;False;;flat;
247;740.0;flat;rent;57.0;True;1;1;Madrid;good;False;13.0;1;Latina;Los Cármenes;True;;flat;
248;740.0;flat;rent;62.0;True;2;1;Colmenar Viejo;good;False;12.0;1;San Crispín - La Estación Consorcio;;True;True;flat;
249;700.0;flat;rent;74.0;False;2;1;Getafe;good;False;9.0;4;Getafe norte;;False;;flat;
250;730.0;flat;rent;35.0;False;1;1;Madrid;good;False;21.0;2;Centro;Chueca-Justicia;True;;flat;
251;700.0;studio;rent;28.0;True;0;1;Madrid;good;False;25.0;3;Fuencarral;Montecarmelo;True;True;flat;studio
252;600.0;chalet;rent;180.0;False;3;2;Meco;good;False;3.0;;;;;True;chalet;terracedHouse
253;750.0;flat;rent;109.0;True;2;2;Valdemoro;good;False;7.0;3;Hospital;;True;True;flat;
255;749.0;flat;rent;38.0;True;1;1;Madrid;good;False;20.0;2;Carabanchel;Pau de Carabanchel;True;True;flat;
256;700.0;studio;rent;30.0;False;0;1;Madrid;good;False;23.0;bj;Retiro;Pacífico;True;;flat;studio
257;667.0;flat;rent;70.0;True;1;1;Parla;good;False;10.0;8;Parla Este;;True;True;flat;
258;725.0;flat;rent;45.0;False;1;1;Madrid;good;False;16.0;1;San Blas;Rejas;True;True;flat;
259;550.0;penthouse;rent;70.0;True;3;1;Robledo de Chavela;good;False;8.0;3;;;False;True;flat;penthouse
260;695.0;flat;rent;55.0;True;3;1;Parla;good;False;13.0;4;Villayuventus-Renfe;;False;;flat;
261;750.0;flat;rent;105.0;True;3;1;Campo Real;good;False;7.0;1;;;False;;flat;
262;699.0;flat;rent;52.0;True;1;1;Madrid;good;False;13.0;3;Puente de Vallecas;Palomeras sureste;True;True;flat;
263;750.0;studio;rent;32.0;True;0;1;Madrid;good;False;23.0;14;Ciudad Lineal;San Pascual;True;;flat;studio
264;730.0;flat;rent;80.0;True;3;1;Collado Villalba;good;False;9.0;4;Carlos Ruiz;;False;;flat;
265;710.0;flat;rent;30.0;True;1;1;Madrid;good;False;24.0;bj;Centro;Lavapiés-Embajadores;False;;flat;
266;650.0;flat;rent;58.0;True;1;1;Madrid;good;False;11.0;4;Puente de Vallecas;Palomeras sureste;True;;flat;
267;600.0;countryHouse;rent;60.0;False;2;2;Villaviciosa de Odón;renew;False;10.0;;Centro;;;;countryHouse;countryHouse
268;740.0;flat;rent;41.0;True;2;1;Madrid;good;False;18.0;3;Villa de Vallecas;Casco Histórico de Vallecas;False;;flat;
269;525.0;flat;rent;40.0;True;1;1;Aranjuez;good;False;13.0;3;Foso-Moreras;;True;;flat;
270;750.0;studio;rent;35.0;True;0;1;Madrid;good;False;21.0;4;Moncloa;Argüelles;False;;flat;studio
271;750.0;flat;rent;74.0;True;3;1;Alcalá de Henares;good;False;10.0;2;Chorrillo;;True;;flat;
272;710.0;flat;rent;69.0;True;3;1;Alcalá de Henares;good;False;10.0;5;Reyes Católicos;;True;;flat;
273;560.0;studio;rent;46.0;True;0;1;Madrid;good;False;12.0;bj;Puente de Vallecas;Numancia;False;;flat;studio
274;600.0;flat;rent;42.0;True;1;1;Torrejón de Ardoz;good;False;14.0;bj;Noroeste;;False;;flat;
275;720.0;flat;rent;44.0;True;1;1;Madrid;good;False;16.0;ss;Carabanchel;San Isidro;False;;flat;
276;750.0;flat;rent;60.0;True;2;1;Madrid;good;False;13.0;;Latina;Puerta del Ángel;False;;flat;
277;750.0;flat;rent;42.0;False;1;1;Madrid;good;False;18.0;4;Arganzuela;Delicias;True;;flat;
278;750.0;studio;rent;90.0;True;0;1;Madrid;good;False;8.0;4;San Blas;Simancas;True;;flat;studio
279;650.0;studio;rent;45.0;False;0;1;Madrid;good;False;14.0;bj;Chamartín;Prosperidad;True;;flat;studio
280;650.0;flat;rent;59.0;True;1;1;Parla;good;False;11.0;2;El Nido-Las Fuentes;;True;;flat;
281;670.0;flat;rent;75.0;True;2;1;Arganda;good;False;9.0;3;El Mirador - Grillero;;True;True;flat;
282;650.0;flat;rent;45.0;True;1;1;Getafe;newdevelopment;True;14.0;2;La Alhóndiga;;True;;flat;
283;750.0;flat;rent;32.0;True;1;1;Madrid;good;False;23.0;2;Puente de Vallecas;Palomeras Bajas;True;;flat;
284;725.0;flat;rent;50.0;True;1;1;Madrid;;;;;;;;;;
285;620.0;studio;rent;20.0;False;0;1;Madrid;good;False;31.0;1;Arganzuela;Palos de Moguer;True;;flat;studio
286;680.0;flat;rent;35.0;True;1;1;Madrid;good;False;19.0;bj;Carabanchel;San Isidro;False;;flat;
287;750.0;flat;rent;87.0;True;3;1;Coslada;good;False;9.0;bj;La Espinilla - Parque Blanco;;True;;flat;
288;670.0;flat;rent;53.0;True;1;1;Getafe;newdevelopment;True;13.0;1;La Alhóndiga;;True;;flat;
289;600.0;flat;rent;75.0;True;3;1;Alcalá de Henares;;;;;;;;;;
290;750.0;flat;rent;70.0;True;2;1;Alcorcón;good;False;11.0;4;Centro;Zona Centro Joven;False;True;flat;
291;700.0;flat;rent;36.0;True;2;1;Pozuelo de Alarcón;good;False;19.0;3;Zona Pueblo;Zona Pueblo;False;;flat;
292;695.0;flat;rent;58.0;False;1;1;Madrid;good;False;12.0;1;Carabanchel;Puerta Bonita;True;;flat;
293;710.0;flat;rent;66.0;True;1;1;Arganda;good;False;11.0;2;Centro;;True;True;flat;
294;620.0;flat;rent;80.0;True;2;1;Bustarviejo;good;False;8.0;2;;;False;True;flat;
295;700.0;flat;rent;80.0;True;3;1;Collado Mediano;good;False;9.0;1;;;False;True;flat;
296;715.0;flat;rent;89.0;True;3;1;Chinchón;good;False;8.0;bj;;;False;;flat;
297;750.0;flat;rent;50.0;True;1;1;Madrid;good;False;15.0;1;Villa de Vallecas;Ensanche de Vallecas - La Gavia;True;True;flat;
298;750.0;flat;rent;45.0;True;1;1;Madrid;good;False;17.0;2;Hortaleza;Pinar del Rey;True;True;flat;
299;550.0;studio;rent;25.0;False;0;1;Madrid;good;False;22.0;bj;Tetuán;Berruguete;False;;flat;studio
300;730.0;flat;rent;60.0;True;1;1;Colmenar Viejo;good;False;12.0;;Centro;;False;;flat;
301;750.0;penthouse;rent;46.0;True;2;1;Madrid;good;False;16.0;4;Puente de Vallecas;Numancia;True;;flat;penthouse
302;700.0;flat;rent;45.0;True;1;1;Coslada;good;False;16.0;bj;Ciudad 70;;False;;flat;
303;680.0;flat;rent;85.0;True;2;1;Coslada;renew;False;8.0;bj;Valleaguado - La Cañada;;True;;flat;
304;600.0;flat;rent;28.0;False;1;1;Madrid;good;False;21.0;4;Tetuán;Bellas Vistas;False;;flat;
305;750.0;flat;rent;80.0;True;2;1;Colmenarejo;good;False;9.0;1;;;False;True;flat;
306;700.0;flat;rent;62.0;True;1;1;Alcorcón;good;False;11.0;2;Centro;Casco Antiguo;True;;flat;
307;690.0;flat;rent;77.0;True;2;1;Madrid;good;False;9.0;bj;Carabanchel;Buena Vista;True;True;flat;
308;700.0;flat;rent;50.0;True;1;1;Madrid;good;False;14.0;bj;Fuencarral;Tres Olivos - Valverde;False;;flat;
309;750.0;flat;rent;87.0;True;2;1;Coslada;good;False;9.0;5;Ciudad 70;;True;;flat;
310;735.0;flat;rent;51.0;True;1;1;Getafe;good;False;14.0;4;Buenavista;;True;True;flat;
311;700.0;flat;rent;80.0;True;3;1;Móstoles;good;False;9.0;5;Suroeste;;True;;flat;
312;725.0;flat;rent;75.0;True;3;1;Fuenlabrada;good;False;10.0;;Centro;;False;;flat;
313;733.0;flat;rent;68.4;True;2;1;Alcalá de Henares;good;False;11.0;2;Las Sedas - El Olivar;;True;True;flat;
314;750.0;flat;rent;36.0;True;1;1;Madrid;good;False;21.0;bj;Ciudad Lineal;Ventas;True;;flat;
315;675.0;flat;rent;69.0;True;2;1;Madrid;good;False;10.0;bj;Latina;Aluche;False;;flat;
316;650.0;flat;rent;85.0;True;2;1;Guadarrama;good;False;8.0;2;;;False;;flat;
317;730.0;flat;rent;52.0;True;1;1;Madrid;good;False;14.0;bj;Tetuán;Valdeacederas;True;;flat;
318;700.0;flat;rent;97.0;True;1;1;Loeches;good;False;7.0;bj;;;True;;flat;
319;690.0;studio;rent;38.0;False;0;1;Madrid;good;False;18.0;2;Tetuán;Valdeacederas;True;True;flat;studio
320;700.0;flat;rent;70.0;True;2;1;Guadarrama;good;False;10.0;1;;;False;;flat;
321;600.0;duplex;rent;89.0;True;2;2;Miraflores de la Sierra;good;False;7.0;2;;;False;;flat;duplex
322;700.0;studio;rent;25.0;False;0;1;Madrid;good;False;28.0;bj;Centro;Lavapiés-Embajadores;False;;flat;studio
323;690.0;flat;rent;60.0;True;2;1;Sevilla la Nueva;good;False;12.0;bj;;;False;;flat;
324;750.0;duplex;rent;114.0;True;3;3;Serranillos del Valle;good;False;7.0;1;;;False;;flat;duplex
325;700.0;studio;rent;51.0;True;0;1;Madrid;good;False;14.0;bj;Hortaleza;Pinar del Rey;False;;flat;studio
326;670.0;flat;rent;61.0;True;1;1;Collado Villalba;good;False;11.0;bj;Parque de la Coruña - Las Suertes;;True;True;flat;
327;750.0;flat;rent;80.0;True;2;1;Valdemoro;good;False;9.0;4;Zona Estación;;True;;flat;
328;740.0;studio;rent;33.0;True;0;1;Madrid;good;False;22.0;bj;Hortaleza;Canillas;True;;flat;studio
329;750.0;flat;rent;110.0;True;4;2;Colmenar Viejo;good;False;7.0;1;El Mirador;;False;;flat;
330;750.0;flat;rent;62.0;True;2;1;Madrid;good;False;12.0;3;Puente de Vallecas;Portazgo;False;;flat;
331;750.0;studio;rent;70.0;True;0;1;San Sebastián de los Reyes;good;False;11.0;bj;Pol. Industrial sur;;True;True;flat;studio
332;650.0;studio;rent;28.0;True;0;1;Madrid;good;False;23.0;bj;Ciudad Lineal;Quintana;False;;flat;studio
333;625.0;flat;rent;51.0;True;1;1;Arganda;good;False;12.0;2;Centro;;True;True;flat;
334;700.0;flat;rent;35.0;True;1;1;Madrid;good;False;20.0;bj;Retiro;Jerónimos;True;;flat;
335;750.0;flat;rent;95.0;True;2;2;Colmenarejo;good;False;8.0;1;;;False;;flat;
336;600.0;studio;rent;25.0;False;0;1;Madrid;good;False;24.0;bj;Usera;Pradolongo;False;;flat;studio
337;750.0;flat;rent;89.0;True;2;2;Getafe;good;False;8.0;2;San Isidro;;True;;flat;
338;700.0;flat;rent;55.0;True;1;1;Valdemorillo;good;False;13.0;1;Valdemorillo pueblo;;True;;flat;
339;750.0;flat;rent;90.0;True;3;2;Campo Real;good;False;8.0;2;;;True;True;flat;
340;750.0;flat;rent;48.0;True;2;1;Madrid;good;False;16.0;2;Fuencarral;Pilar;True;;flat;
341;625.0;flat;rent;57.0;True;2;1;Aranjuez;good;False;11.0;bj;Centro;;False;;flat;
342;750.0;flat;rent;46.0;True;1;1;San Sebastián de los Reyes;good;False;16.0;1;Centro Urbano;;False;True;flat;
343;695.0;flat;rent;59.0;True;1;1;Madrid;good;False;12.0;4;Villaverde;Butarque;True;True;flat;
344;450.0;flat;rent;40.0;True;1;1;Robledo de Chavela;good;False;11.0;1;;;False;;flat;
345;720.0;flat;rent;58.0;True;2;1;Alcorcón;good;False;12.0;bj;Centro;Casco Antiguo;False;;flat;
346;745.0;flat;rent;73.0;True;2;1;Alcalá de Henares;good;False;10.0;2;Las Sedas - El Olivar;;True;True;flat;
347;720.0;flat;rent;69.6;True;2;1;Alcalá de Henares;good;False;10.0;2;Las Sedas - El Olivar;;True;True;flat;
348;750.0;flat;rent;55.0;True;2;1;Madrid;good;False;14.0;1;Fuencarral;Tres Olivos - Valverde;False;;flat;
349;720.0;studio;rent;48.0;True;0;1;Madrid;good;False;15.0;1;Ciudad Lineal;Concepción;True;True;flat;studio
350;725.0;studio;rent;44.0;False;0;1;Madrid;good;False;16.0;8;Centro;Chueca-Justicia;True;;flat;studio
351;750.0;flat;rent;80.0;False;2;1;Madrid;good;False;9.0;5;Villaverde;Butarque;True;True;flat;
352;550.0;flat;rent;86.0;True;2;1;Torrelaguna;good;False;6.0;1;;;True;;flat;
353;640.0;flat;rent;69.0;True;2;1;Villalbilla;good;False;9.0;2;;;True;True;flat;
354;700.0;flat;rent;54.0;True;1;1;Getafe;good;False;13.0;1;Getafe Centro;;True;;flat;
355;700.0;flat;rent;59.0;True;1;1;Madrid;good;False;12.0;6;Carabanchel;Pau de Carabanchel;True;True;flat;
356;700.0;flat;rent;75.0;True;2;1;Alcalá de Henares;good;False;9.0;1;Pryconsa - Poligono Europa;;False;;flat;
357;695.0;flat;rent;62.0;False;2;1;Alcobendas;good;False;11.0;3;Alcobendas Centro;;False;;flat;
