;price;propertyType;operation;size;exterior;rooms;bathrooms;municipality;status;newDevelopment;floor;district;neighborhood;hasLift;hasParkingSpace;typology;subTypology;priceByArea
0;750.0;697.5595667869718;692.9320113314448;60.0;694.9649122806956;1;1;705.5941137736924;695.2438271604938;694.90490797546;697.6898426464414;701.25373726602;700.3179109713058;702.2528716519531;691.040740740767;695.2268656716417;696.6007067137671;13.0
1;750.0;697.5595667869718;692.9320113314448;70.0;694.9649122806956;2;1;701.4185840255545;695.2438271604938;694.90490797546;678.6640137059316;700.2086370207389;679.7932977234551;687.6335443592284;691.040740740767;695.2268656716417;696.6007067137671;11.0
2;700.0;697.5595667869718;692.9320113314448;55.0;694.9649122806956;2;1;701.4185840255545;695.2438271604938;694.90490797546;696.0922226905212;693.9093264632611;679.7932977234551;687.6335443592284;691.040740740767;695.2268656716417;696.6007067137671;12.0
3;590.0;697.5595667869718;692.9320113314448;70.0;694.9649122806956;3;2;679.5396843739956;695.2438271604938;694.90490797546;670.416612627114;645.6577714401409;679.7932977234551;687.6335443592284;691.040740740767;695.2268656716417;696.6007067137671;8.0
4;684.0;689.8145716992633;692.9320113314448;45.0;694.9649122806956;0;1;705.5941137736924;682.1233097634412;682.1233097634412;670.416612627114;645.6577714401409;679.7932977234551;673.705516292519;691.040740740767;682.1233097634412;696.6007067137671;13.294985250737463
5;600.0;697.5595667869718;692.9320113314448;73.0;694.9649122806956;2;1;680.8407691176255;695.2438271604938;694.90490797546;697.6898426464414;645.6577714401409;679.7932977234551;687.6335443592284;691.040740740767;695.2268656716417;696.6007067137671;8.0
6;600.0;691.6399689676626;692.9320113314448;71.0;694.9649122806956;1;1;682.4388751934754;695.2438271604938;694.90490797546;701.6980775674542;645.6577714401409;679.7932977234551;687.6335443592284;691.040740740767;695.2268656716417;694.9750169715314;8.0
7;550.0;697.5595667869718;692.9320113314448;53.0;694.9649122806956;1;1;705.5941137736924;695.2438271604938;694.90490797546;701.6980775674542;695.5142893172506;693.9893874974726;687.6335443592284;691.040740740767;695.2268656716417;696.6007067137671;10.0
8;700.0;689.8145716992633;692.9320113314448;28.0;694.9649122806956;0;1;705.5941137736924;695.2438271604938;694.90490797546;701.6980775674542;698.060183306633;697.480889673296;687.6335443592284;691.040740740767;695.2268656716417;689.7575199633534;25.0
9;700.0;691.6399689676626;692.9320113314448;86.0;694.9649122806956;2;1;693.8516165539254;695.2438271604938;694.90490797546;697.6898426464414;693.8516165539254;679.7932977234551;702.2528716519531;691.040740740767;695.2268656716417;694.9750169715314;8.0
10;700.0;697.5595667869718;692.9320113314448;45.0;684.4813118252059;1;1;705.5941137736924;695.2438271604938;694.90490797546;698.3045241054774;697.480889673296;697.480889673296;687.6335443592284;691.040740740767;695.2268656716417;696.6007067137671;16.0
11;550.0;697.5595667869718;692.9320113314448;54.0;694.9649122806956;2;1;683.8304295712966;695.2438271604938;694.90490797546;690.2090043772075;691.1615387116915;679.7932977234551;687.6335443592284;691.040740740767;695.2268656716417;696.6007067137671;10.0
12;695.0;697.5595667869718;692.9320113314448;64.0;694.9649122806956;2;1;701.4185840255545;695.2438271604938;694.90490797546;701.6980775674542;700.2086370207389;679.7932977234551;687.6335443592284;691.040740740767;695.2268656716417;696.6007067137671;11.0
13;650.0;697.5595667869718;692.9320113314448;68.0;694.9649122806956;2;1;690.3883364282716;695.2438271604938;694.90490797546;678.6640137059316;690.3883364282716;679.7932977234551;687.6335443592284;691.040740740767;695.2268656716417;696.6007067137671;10.0
14;700.0;697.5595667869718;692.9320113314448;30.0;684.4813118252059;1;1;705.5941137736924;695.2438271604938;694.90490797546;701.6980775674542;695.3159460094015;693.8516165539254;702.2528716519531;691.040740740767;695.2268656716417;696.6007067137671;23.0
15;700.0;697.5595667869718;692.9320113314448;35.0;684.4813118252059;1;1;705.5941137736924;695.2438271604938;694.90490797546;701.6980775674542;698.4230775594249;693.2793954075133;687.6335443592284;691.040740740767;695.2268656716417;696.6007067137671;20.0
16;700.0;697.5595667869718;692.9320113314448;43.0;694.9649122806956;1;1;705.5941137736924;695.2438271604938;694.90490797546;696.0922226905212;691.5060492022334;687.330275254454;702.2528716519531;691.040740740767;695.2268656716417;696.6007067137671;16.0
17;650.0;697.5595667869718;692.9320113314448;60.0;694.9649122806956;2;1;705.5941137736924;695.2438271604938;694.90490797546;701.6980775674542;695.5142893172506;693.9893874974726;687.6335443592284;691.040740740767;695.2268656716417;696.6007067137671;11.0
18;700.0;697.5595667869718;692.9320113314448;55.0;694.9649122806956;2;1;701.4185840255545;695.2438271604938;694.90490797546;696.0922226905212;693.9093264632611;679.7932977234551;687.6335443592284;691.040740740767;695.2268656716417;696.6007067137671;12.0
19;700.0;697.5595667869718;692.9320113314448;55.0;694.9649122806956;2;1;701.4185840255545;695.2438271604938;694.90490797546;696.0922226905212;693.9093264632611;679.7932977234551;687.6335443592284;691.040740740767;695.2268656716417;696.6007067137671;12.0
20;695.0;697.5595667869718;692.9320113314448;40.0;684.4813118252059;1;1;705.5941137736924;695.2438271604938;694.90490797546;710.7500724586687;697.1262620110448;693.2010741821103;702.2528716519531;691.040740740767;695.2268656716417;696.6007067137671;17.0
21;675.0;697.5595667869718;692.9320113314448;40.0;694.9649122806956;1;1;692.2731637371271;695.2438271604938;694.90490797546;678.6640137059316;691.1615387116915;679.7932977234551;687.6335443592284;699.0730605114524;695.2268656716417;696.6007067137671;17.0
